class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9809885931558935,0.9828571428571429,0.9819219790675547
1,1,1,1050,0.9854368932038835,0.9666666666666667,0.9759615384615385
2,2,2,1050,0.9425925925925925,0.9695238095238096,0.955868544600939
3,3,3,1050,0.9771428571428571,0.9771428571428571,0.9771428571428571
4,4,4,1050,0.9570093457943926,0.9752380952380952,0.9660377358490567
5,5,5,1050,0.988394584139265,0.9733333333333334,0.980806142034549
6,6,6,1050,0.9712643678160919,0.9657142857142857,0.9684813753581661
7,7,7,1050,0.976145038167939,0.9742857142857143,0.9752144899904671
8,8,8,1050,0.9779482262703739,0.9714285714285714,0.9746774964166268
9,9,9,1050,0.9818875119161106,0.9809523809523809,0.981419723677942
