class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9681050656660413,0.9828571428571429,0.9754253308128544
1,1,1,1050,0.9760306807286673,0.9695238095238096,0.9727663640707119
2,2,2,1050,0.9627151051625239,0.959047619047619,0.9608778625954199
3,3,3,1050,0.9762131303520457,0.9771428571428571,0.9766777724892908
4,4,4,1050,0.9590697674418605,0.981904761904762,0.9703529411764706
5,5,5,1050,0.961789375582479,0.9828571428571429,0.9722091380122468
6,6,6,1050,0.969377990430622,0.9647619047619047,0.9670644391408113
7,7,7,1050,0.9903006789524733,0.9723809523809523,0.9812590100913022
8,8,8,1050,0.9834146341463414,0.96,0.9715662650602409
9,9,9,1050,0.9837320574162679,0.979047619047619,0.9813842482100239
