timestamp,elapsed_seconds,event,metadata_json,cpu_percent,process_cpu_percent,cpu_count_logical,ram_total_bytes,ram_available_bytes,ram_used_bytes,ram_percent,process_rss_bytes,process_vms_bytes,process_read_bytes,process_write_bytes,disk_data_total_bytes,disk_data_free_bytes,disk_data_used_bytes,disk_data_percent,disk_output_total_bytes,disk_output_free_bytes,disk_output_used_bytes,disk_output_percent,disks_json,gpu_backend,gpu_count,gpu_utilization_percent,gpu_memory_used_bytes,gpu_memory_total_bytes,gpu_memory_percent,gpu_temperature_c,gpu_power_w,gpus_json
2026-08-07T13:19:27.728+00:00,0.024026,train_start,{},6.7,41.0,12,16619077632,15515451392,1103626240,6.6,1029115904,39580217344,7933952,4096,1081101176832,998271193088,27837628416,2.7,1000186310656,207283535872,792902774784,79.3,"{""data"":{""free_bytes"":998271193088,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837628416},""output"":{""free_bytes"":207283535872,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902774784}}",pynvml,1,0.0,2580668416,8589934592,30.04293441772461,38.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2580668416,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":38.0,""utilization_percent"":0.0}]"
2026-08-07T13:19:27.770+00:00,0.066211,data_preparation_start,{},0.0,0.0,12,16619077632,15518990336,1100087296,6.6,1029115904,39655718912,7933952,4096,1081101176832,998271193088,27837628416,2.7,1000186310656,207283531776,792902778880,79.3,"{""data"":{""free_bytes"":998271193088,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837628416},""output"":{""free_bytes"":207283531776,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902778880}}",pynvml,1,0.0,2580668416,8589934592,30.04293441772461,38.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2580668416,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":38.0,""utilization_percent"":0.0}]"
2026-08-07T13:19:29.604+00:00,1.900241,data_preparation_end,"{""data_metadata"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""balancing"":{""class_weights"":null,""is_noop"":true,""mode"":""all_raw"",""output_class_counts"":{""0"":4900,""1"":4900,""2"":4900,""3"":4900,""4"":4900,""5"":4900,""6"":4900,""7"":4900,""8"":4900,""9"":4900},""raw_class_counts"":{""0"":4900,""1"":4900,""2"":4900,""3"":4900,""4"":4900,""5"":4900,""6"":4900,""7"":4900,""8"":4900,""9"":4900}},""batch_size"":208,""channels"":1,""class_ids"":[0,1,2,3,4,5,6,7,8,9],""datasets"":{""test"":{""batches"":51,""decoded_cache_enabled"":false,""decoded_cache_estimated_bytes"":172032000,""extra_augmented_examples"":0,""shuffle_buffer_examples"":0,""source_examples"":10500,""total_examples"":10500,""training"":false},""train"":{""batches"":236,""decoded_cache_enabled"":false,""decoded_cache_estimated_bytes"":802816000,""extra_augmented_examples"":0,""shuffle_buffer_examples"":49000,""source_examples"":49000,""total_examples"":49000,""training"":true},""validation"":{""batches"":51,""decoded_cache_enabled"":false,""decoded_cache_estimated_bytes"":172032000,""extra_augmented_examples"":0,""shuffle_buffer_examples"":0,""source_examples"":10500,""total_examples"":10500,""training"":false}},""extra_fraction"":0.0,""fractions"":{""test"":0.15,""train"":0.7,""validation"":0.15},""image_size"":64,""normalization"":{""channels"":1,""image_size"":64,""mean"":[0.0],""mode"":""unit_interval"",""pixel_count"":0,""std"":[1.0]},""num_classes"":10,""raw_split_class_counts"":{""test"":{""0"":1050,""1"":1050,""2"":1050,""3"":1050,""4"":1050,""5"":1050,""6"":1050,""7"":1050,""8"":1050,""9"":1050},""train"":{""0"":4900,""1"":4900,""2"":4900,""3"":4900,""4"":4900,""5"":4900,""6"":4900,""7"":4900,""8"":4900,""9"":4900},""validation"":{""0"":1050,""1"":1050,""2"":1050,""3"":1050,""4"":1050,""5"":1050,""6"":1050,""7"":1050,""8"":1050,""9"":1050}},""seed"":42,""split"":{""fingerprint"":""161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81"",""test_size"":10500,""train_size"":49000,""validation_size"":10500}}}",9.1,103.6,12,16619077632,15384969216,1234108416,7.4,1220087808,42655952896,9834496,266240,1081101176832,998271131648,27837689856,2.7,1000186310656,207283531776,792902778880,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283531776,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902778880}}",pynvml,1,0.0,2667204608,8589934592,31.05034828186035,40.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2667204608,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":40.0,""utilization_percent"":0.0}]"
2026-08-07T13:19:30.497+00:00,2.793781,fit_start,{},9.7,99.6,12,16619077632,15381463040,1237614592,7.4,1232670720,42792374272,9834496,442368,1081101176832,998271131648,27837689856,2.7,1000186310656,207283499008,792902811648,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283499008,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902811648}}",pynvml,1,1.0,2669301760,8589934592,31.07476234436035,40.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2669301760,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":40.0,""utilization_percent"":1.0}]"
2026-08-07T13:19:32.770+00:00,5.06631,periodic,{},0.0,109.1,12,16619077632,15310798848,1308278784,7.9,1304338432,43015942144,9834496,442368,1081101176832,998271131648,27837689856,2.7,1000186310656,207283499008,792902811648,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283499008,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902811648}}",pynvml,1,0.0,2669301760,8589934592,31.07476234436035,40.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2669301760,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":40.0,""utilization_percent"":0.0}]"
2026-08-07T13:19:37.828+00:00,10.124188,periodic,{},12.2,161.5,12,16619077632,15147745280,1471332352,8.9,1469992960,43341086720,9834496,442368,1081101176832,998271131648,27837689856,2.7,1000186310656,207283499008,792902811648,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283499008,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902811648}}",pynvml,1,1.0,2669301760,8589934592,31.07476234436035,38.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2669301760,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":38.0,""utilization_percent"":1.0}]"
2026-08-07T13:19:42.892+00:00,15.188651,periodic,{},16.1,213.3,12,16619077632,15007895552,1611182080,9.7,1610633216,43475456000,9834496,442368,1081101176832,998271131648,27837689856,2.7,1000186310656,207283499008,792902811648,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283499008,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902811648}}",pynvml,1,0.0,2669301760,8589934592,31.07476234436035,38.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2669301760,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":38.0,""utilization_percent"":0.0}]"
2026-08-07T13:19:47.954+00:00,20.250151,periodic,{},16.5,213.0,12,16619077632,14865207296,1753870336,10.6,1752584192,43542712320,9834496,442368,1081101176832,998271131648,27837689856,2.7,1000186310656,207283499008,792902811648,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283499008,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902811648}}",pynvml,1,1.0,2669301760,8589934592,31.07476234436035,38.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2669301760,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":38.0,""utilization_percent"":1.0}]"
2026-08-07T13:19:53.020+00:00,25.316371,periodic,{},16.2,209.8,12,16619077632,14723551232,1895526400,11.4,1891672064,43744333824,9834496,442368,1081101176832,998271131648,27837689856,2.7,1000186310656,207283494912,792902815744,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283494912,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902815744}}",pynvml,1,0.0,2669301760,8589934592,31.07476234436035,37.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2669301760,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":37.0,""utilization_percent"":0.0}]"
2026-08-07T13:20:01.665+00:00,30.375929,periodic,{},16.3,209.5,12,16619077632,14587301888,2031775744,12.2,2028511232,43878551552,9834496,442368,1081101176832,998271131648,27837689856,2.7,1000186310656,207283494912,792902815744,79.3,"{""data"":{""free_bytes"":998271131648,""percent"":2.7,""total_bytes"":1081101176832,""used_bytes"":27837689856},""output"":{""free_bytes"":207283494912,""percent"":79.3,""total_bytes"":1000186310656,""used_bytes"":792902815744}}",pynvml,1,1.0,2669301760,8589934592,31.07476234436035,37.0,,"[{""index"":0,""memory_total_bytes"":8589934592,""memory_used_bytes"":2669301760,""name"":""NVIDIA GeForce RTX 3050"",""power_w"":null,""temperature_c"":37.0,""utilization_percent"":1.0}]"
