class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9856459330143541,0.9809523809523809,0.9832935560859187
1,1,1,1050,0.9845410628019323,0.9704761904761905,0.9774580335731415
2,2,2,1050,0.9485981308411215,0.9666666666666667,0.9575471698113207
3,3,3,1050,0.9629972247918593,0.9914285714285714,0.9770061004223369
4,4,4,1050,0.9662288930581614,0.9809523809523809,0.9735349716446124
5,5,5,1050,0.9902723735408561,0.9695238095238096,0.9797882579403273
6,6,6,1050,0.9648956356736242,0.9685714285714285,0.9667300380228138
7,7,7,1050,0.9893307468477207,0.9714285714285714,0.980297933685728
8,8,8,1050,0.9826756496631376,0.9723809523809523,0.9775011967448539
9,9,9,1050,0.9838249286393911,0.9847619047619047,0.9842931937172775
