epoch,accuracy,epoch_seconds,learning_rate,loss,train_examples,train_examples_per_second,val_accuracy,val_balanced_accuracy,val_class_0_f1,val_class_0_precision,val_class_0_recall,val_class_0_support,val_class_1_f1,val_class_1_precision,val_class_1_recall,val_class_1_support,val_class_2_f1,val_class_2_precision,val_class_2_recall,val_class_2_support,val_class_3_f1,val_class_3_precision,val_class_3_recall,val_class_3_support,val_class_4_f1,val_class_4_precision,val_class_4_recall,val_class_4_support,val_class_5_f1,val_class_5_precision,val_class_5_recall,val_class_5_support,val_class_6_f1,val_class_6_precision,val_class_6_recall,val_class_6_support,val_loss,val_macro_f1
1,0.23353634774684906,76.54366225900594,0.0003000000142492354,1.8365232944488525,75363.0,984.5753100366317,0.2962481379508972,0.20905631689116017,0.0,0.0,0.0,743.0,0.0,0.0,0.0,82.0,0.005188067444876784,0.6666666666666666,0.0026041666666666665,768.0,0.4252563410685375,0.2807600950118765,0.8762045959970348,1349.0,0.2339418526031102,0.30511463844797176,0.18969298245614036,912.0,0.39330543933054396,0.3949579831932773,0.39166666666666666,600.0,0.006389776357827477,0.3333333333333333,0.0032258064516129032,930.0,1.728616714477539,0.1520116395435566
2,0.30947548151016235,37.47092841399717,0.0003000000142492354,1.7059048414230347,75363.0,2011.2391976882095,0.37852898240089417,0.29029280290543485,0.0,0.0,0.0,743.0,0.0,0.0,0.0,82.0,0.08686440677966102,0.23295454545454544,0.053385416666666664,768.0,0.5430149960536701,0.42088091353996737,0.765011119347665,1349.0,0.3376498800959233,0.30008525149190113,0.38596491228070173,912.0,0.4935064935064935,0.5135135135135135,0.475,600.0,0.3350357507660878,0.31906614785992216,0.35268817204301073,930.0,1.605488657951355,0.25658164674311934
3,0.3669970631599426,37.61232428399671,0.0003000000142492354,1.6086634397506714,75363.0,2003.6783536949733,0.4037890136241913,0.31340599569023525,0.03482587064676616,0.22950819672131148,0.018842530282637954,743.0,0.0,0.0,0.0,82.0,0.11530815109343934,0.24369747899159663,0.07552083333333333,768.0,0.6007649308620182,0.4980487804878049,0.7568569310600445,1349.0,0.30987514188422255,0.3211764705882353,0.2993421052631579,912.0,0.5055698371893744,0.5202821869488536,0.49166666666666664,600.0,0.402668759811617,0.31705809641532756,0.5516129032258065,930.0,1.5361366271972656,0.28128752735534823
4,0.3919960856437683,36.80995361600071,0.0003000000142492354,1.5558369159698486,75363.0,2047.3538430985927,0.41790491342544556,0.3309262556538881,0.013227513227513227,0.38461538461538464,0.006729475100942127,743.0,0.0,0.0,0.0,82.0,0.1796116504854369,0.23717948717948717,0.14453125,768.0,0.6180469715698392,0.5299417064122947,0.7412898443291327,1349.0,0.35876098012020335,0.3101518784972022,0.42543859649122806,912.0,0.5341914722445696,0.5163297045101088,0.5533333333333333,600.0,0.4035087719298245,0.3689839572192513,0.44516129032258067,930.0,1.4965765476226807,0.30104962279676956
5,0.4095776379108429,37.35384798698942,0.0003000000142492354,1.5141268968582153,75363.0,2017.5431464584158,0.4145616590976715,0.3166974757818103,0.045685279187817264,0.4,0.024226110363391656,743.0,0.0,0.0,0.0,82.0,0.13073170731707318,0.2607003891050584,0.08723958333333333,768.0,0.5905052043665905,0.44903474903474905,0.8621200889547813,1349.0,0.35184362505553085,0.29574309185959674,0.4342105263157895,912.0,0.5537037037037037,0.6229166666666667,0.49833333333333335,600.0,0.3605739238927012,0.4294205052005943,0.310752688172043,930.0,1.492613673210144,0.29043477764620235
6,0.42293962836265564,37.254805328004295,0.0003000000142492354,1.4850659370422363,75363.0,2022.9068260182244,0.4383358061313629,0.35667891131860024,0.15625,0.3456221198156682,0.1009421265141319,743.0,0.0,0.0,0.0,82.0,0.18649517684887457,0.24369747899159663,0.15104166666666666,768.0,0.6568109820485745,0.6253351206434317,0.6916234247590808,1349.0,0.36226793778223787,0.333950046253469,0.3958333333333333,912.0,0.5507900677200903,0.5020576131687243,0.61,600.0,0.43898231996550235,0.36645068394528435,0.5473118279569893,930.0,1.451051115989685,0.33594235490932567
7,0.4350941479206085,37.43233325998881,0.0003000000142492354,1.4561747312545776,75363.0,2013.3129152425838,0.44130757451057434,0.35718661000444857,0.14759358288770053,0.359375,0.09286675639300135,743.0,0.0,0.0,0.0,82.0,0.16319444444444445,0.24479166666666666,0.12239583333333333,768.0,0.6582897033158812,0.6220316622691293,0.6990363232023721,1349.0,0.36012207527975587,0.33586337760910817,0.3881578947368421,912.0,0.5655930871956009,0.5349182763744428,0.6,600.0,0.44569138276553105,0.35527156549520766,0.5978494623655914,930.0,1.4319301843643188,0.3343548965555591
8,0.4469169080257416,36.96387449000031,0.0003000000142492354,1.429955005645752,75363.0,2038.828478881121,0.4528231918811798,0.36528991643831443,0.23070097604259093,0.3385416666666667,0.17496635262449528,743.0,0.0,0.0,0.0,82.0,0.14559386973180077,0.2753623188405797,0.09895833333333333,768.0,0.6614886731391586,0.5870189546237794,0.7575982209043736,1349.0,0.3724616146607232,0.33965672990063234,0.41228070175438597,912.0,0.5732184808144087,0.5406203840472673,0.61,600.0,0.4396430248943165,0.390325271059216,0.5032258064516129,930.0,1.4037964344024658,0.34615809132614267
9,0.4579966366291046,37.473989071004326,0.0003000000142492354,1.4024157524108887,75363.0,2011.074931393212,0.4619242250919342,0.3754652564019446,0.2632831086439334,0.3204633204633205,0.2234185733512786,743.0,0.0,0.0,0.0,82.0,0.1816593886462882,0.27586206896551724,0.13541666666666666,768.0,0.6785474108944183,0.6209230769230769,0.7479614529280949,1349.0,0.3910050481872419,0.3362273086029992,0.46710526315789475,912.0,0.5927750410509031,0.5841423948220065,0.6016666666666667,600.0,0.4410686223153483,0.43003064351378956,0.45268817204301076,930.0,1.3794152736663818,0.3640483742483047
10,0.46449849009513855,37.68260384099267,0.0003000000142492354,1.3858301639556885,75363.0,1999.9414137623119,0.4656389355659485,0.3872814492580057,0.27483443708609273,0.35698924731182796,0.2234185733512786,743.0,0.0,0.0,0.0,82.0,0.21785173978819972,0.259927797833935,0.1875,768.0,0.6887467068121941,0.6995412844036697,0.6782802075611564,1349.0,0.39410681399631675,0.3396825396825397,0.4692982456140351,912.0,0.6004548900682334,0.5507649513212796,0.66,600.0,0.4561752988047809,0.424860853432282,0.4924731182795699,930.0,1.3855663537979126,0.3760242695079739
