epoch,loss,accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,learning_rate,epoch_seconds,train_examples,train_examples_per_second,val_class_0_f1,val_class_0_precision,val_class_0_recall,val_class_0_support,val_class_1_f1,val_class_1_precision,val_class_1_recall,val_class_1_support,val_class_2_f1,val_class_2_precision,val_class_2_recall,val_class_2_support,val_class_3_f1,val_class_3_precision,val_class_3_recall,val_class_3_support,val_class_4_f1,val_class_4_precision,val_class_4_recall,val_class_4_support,val_class_5_f1,val_class_5_precision,val_class_5_recall,val_class_5_support,val_class_6_f1,val_class_6_precision,val_class_6_recall,val_class_6_support
1,1.8960955142974854,0.21365755796432495,1.807397484779358,0.24554234743118286,0.30223204707655965,0.22238425292614145,0.0003000000142492354,114.41094887399231,132132.0,1154.8894690623094,0.0389768574908648,0.20512820512820512,0.021534320323014805,743.0,0.06635071090047394,0.03512544802867384,0.5975609756097561,82.0,0.162751677852349,0.22877358490566038,0.12630208333333334,768.0,0.266050333846944,0.4331103678929766,0.19199406968124536,1349.0,0.3333333333333333,0.2717842323651452,0.4309210526315789,912.0,0.46831955922865015,0.39906103286384975,0.5666666666666667,600.0,0.22090729783037477,0.28426395939086296,0.18064516129032257,930.0
2,1.6698579788208008,0.33631521463394165,1.6213226318359375,0.36106982827186584,0.3780520532070325,0.31221162316206563,0.0003000000142492354,67.27404852799373,132132.0,1964.0857491283273,0.12890231621349446,0.256,0.08613728129205922,743.0,0.21609195402298847,0.13314447592067988,0.573170731707317,82.0,0.13577981651376145,0.22981366459627328,0.09635416666666667,768.0,0.5230648944487881,0.5533498759305211,0.49592290585618976,1349.0,0.3174914257716805,0.2869796279893711,0.35526315789473684,912.0,0.49626104690686607,0.4190585533869116,0.6083333333333333,600.0,0.36788990825688067,0.3208,0.4311827956989247,930.0
3,1.5283281803131104,0.401265412569046,1.576327919960022,0.3891158998012543,0.4032236929756869,0.34181916748984703,0.0003000000142492354,67.6512549839972,132132.0,1953.1344988537996,0.17550626808100292,0.30952380952380953,0.1224764468371467,743.0,0.21186440677966098,0.1282051282051282,0.6097560975609756,82.0,0.19420516836335158,0.24361493123772102,0.16145833333333334,768.0,0.5745694393550751,0.5681159420289855,0.58117123795404,1349.0,0.34068512435476306,0.2977850697292863,0.3980263157894737,912.0,0.5321637426900585,0.4739583333333333,0.6066666666666667,600.0,0.3637400228050171,0.3871359223300971,0.34301075268817205,930.0
4,1.4441730976104736,0.4335286021232605,1.577387809753418,0.3855869174003601,0.4008876372166093,0.3329514318113572,0.0003000000142492354,67.49148887400224,132132.0,1957.7579662922108,0.15657036346691516,0.2545454545454545,0.11305518169582772,743.0,0.16666666666666669,0.0959409594095941,0.6341463414634146,82.0,0.15593220338983052,0.22330097087378642,0.11979166666666667,768.0,0.5841104065647147,0.5878378378378378,0.5804299481097109,1349.0,0.3147432357813363,0.3170189098998888,0.3125,912.0,0.5471551052221356,0.513909224011713,0.585,600.0,0.4054820415879017,0.3617200674536256,0.4612903225806452,930.0
5,1.4006117582321167,0.45132139325141907,1.5244120359420776,0.4036032557487488,0.41366837310451654,0.36619253119736656,0.0003000000142492354,67.51136619999306,132132.0,1957.1815449353708,0.266839378238342,0.2571785268414482,0.2772543741588156,743.0,0.23896103896103896,0.15181518151815182,0.5609756097560976,82.0,0.16480686695278968,0.24181360201511334,0.125,768.0,0.5976920015917231,0.6451890034364262,0.5567086730911787,1349.0,0.35057759919638376,0.32344763670064874,0.3826754385964912,912.0,0.5549577248270562,0.514978601997147,0.6016666666666667,600.0,0.3895131086142322,0.3876464323748669,0.3913978494623656,930.0
6,1.362738013267517,0.46540579199790955,1.4952141046524048,0.41771915555000305,0.42956866105478736,0.37412448098212564,0.0003000000142492354,67.18885258700175,132132.0,1966.576223770222,0.2674504041146216,0.29449838187702265,0.2449528936742934,743.0,0.25,0.15723270440251572,0.6097560975609756,82.0,0.1835334476843911,0.26884422110552764,0.13932291666666666,768.0,0.6078655975563192,0.6267716535433071,0.5900667160859896,1349.0,0.3214069132807762,0.35956580732700133,0.2905701754385965,912.0,0.5659801678108314,0.5218002812939522,0.6183333333333333,600.0,0.42263483642793986,0.3588588588588589,0.513978494623656,930.0
7,1.3314722776412964,0.47917234897613525,1.4916831254959106,0.4234769642353058,0.42333534831451003,0.3744146731235106,0.0003000000142492354,68.03947747300845,132132.0,1941.9902225500973,0.2815013404825737,0.2803738317757009,0.28263795423956933,743.0,0.20720720720720723,0.1270718232044199,0.5609756097560976,82.0,0.1921005385996409,0.3092485549132948,0.13932291666666666,768.0,0.627711686494052,0.5944333996023857,0.6649369903632321,1349.0,0.3346303501945525,0.33934611048478014,0.3300438596491228,912.0,0.5851670741646291,0.5725677830940988,0.5983333333333334,600.0,0.3925845147219193,0.39823008849557523,0.3870967741935484,930.0
8,1.3065521717071533,0.49135711789131165,1.5046170949935913,0.42979198694229126,0.4412233223419563,0.38046240291859995,0.0003000000142492354,68.25282277299266,132132.0,1935.9199316849947,0.31402831402831405,0.3008631319358816,0.3283983849259758,743.0,0.17962003454231434,0.10462776659959759,0.6341463414634146,82.0,0.2061328790459966,0.29802955665024633,0.15755208333333334,768.0,0.6406362979031092,0.6252646436132675,0.6567828020756116,1349.0,0.31585760517799355,0.3854660347551343,0.2675438596491228,912.0,0.5870253164556961,0.5587349397590361,0.6183333333333333,600.0,0.41993637327677624,0.41422594142259417,0.4258064516129032,930.0
9,1.2848483324050903,0.49863773584365845,1.4285956621170044,0.44019317626953125,0.4376900621307362,0.4013258785412076,0.0003000000142492354,67.73121808099677,132132.0,1950.8286391954325,0.24749772520473154,0.38202247191011235,0.18304172274562583,743.0,0.33587786259541985,0.24444444444444444,0.5365853658536586,82.0,0.20932009167303284,0.2532347504621072,0.17838541666666666,768.0,0.6468797564687975,0.6645817044566067,0.6300963676797627,1349.0,0.35912129894937916,0.31810490693739424,0.41228070175438597,912.0,0.5836403831982314,0.523117569352708,0.66,600.0,0.42694403169886086,0.3957759412304867,0.46344086021505376,930.0
10,1.25825035572052,0.5117912292480469,1.4766629934310913,0.4379643499851227,0.4495600787179086,0.39297136368055835,0.0003000000142492354,67.60486376000335,132132.0,1954.4747618909105,0.33181522446324,0.3211586901763224,0.34320323014804843,743.0,0.21860465116279068,0.13505747126436782,0.573170731707317,82.0,0.210867802108678,0.27956989247311825,0.16927083333333334,768.0,0.6426858513189448,0.6973113616652211,0.5959970348406227,1349.0,0.33107692307692305,0.37727910238429174,0.2949561403508772,912.0,0.5871056241426612,0.4988344988344988,0.7133333333333334,600.0,0.4286434694906707,0.4036087369420703,0.45698924731182794,930.0
11,1.2392634153366089,0.5207973718643188,1.4368226528167725,0.45059436559677124,0.46171086387366095,0.40546360209141385,0.0003000000142492354,67.38189996800793,132132.0,1960.942034325755,0.3333333333333333,0.3648,0.30686406460296095,743.0,0.27272727272727276,0.17465753424657535,0.6219512195121951,82.0,0.2391304347826087,0.2696078431372549,0.21484375,768.0,0.6634615384615385,0.6619926199261993,0.6649369903632321,1349.0,0.32352941176470584,0.3880368098159509,0.2774122807017544,912.0,0.5809979494190021,0.492468134414832,0.7083333333333334,600.0,0.42506527415143597,0.4131979695431472,0.4376344086021505,930.0
12,1.2181187868118286,0.5288045406341553,1.422392725944519,0.45226597785949707,0.45831336209175266,0.42372004562589743,0.0003000000142492354,67.04379709799832,132132.0,1970.831094289929,0.36329113924050627,0.3428912783751493,0.38627187079407804,743.0,0.3165467625899281,0.22448979591836735,0.5365853658536586,82.0,0.22866092404072041,0.2868369351669941,0.19010416666666666,768.0,0.6397984886649875,0.7376573088092934,0.5648628613787992,1349.0,0.3748723186925434,0.3508604206500956,0.4024122807017544,912.0,0.6097560975609757,0.5617977528089888,0.6666666666666666,600.0,0.4331145885916204,0.4081826831588963,0.4612903225806452,930.0
13,1.2041378021240234,0.5347380042076111,1.4301718473434448,0.4576523005962372,0.46652873321479754,0.41781352606415256,0.0003000000142492354,68.25101412899676,132132.0,1935.9712333397126,0.3633387888707038,0.3055045871559633,0.44818304172274565,743.0,0.2602040816326531,0.16451612903225807,0.6219512195121951,82.0,0.24369747899159666,0.34360189573459715,0.18880208333333334,768.0,0.6686500557828189,0.6708955223880597,0.6664195700518903,1349.0,0.34344590726960506,0.3592814371257485,0.32894736842105265,912.0,0.6225941422594142,0.6252100840336134,0.62,600.0,0.42276422764227645,0.4595959595959596,0.3913978494623656,930.0
