class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9903660886319846,0.979047619047619,0.9846743295019158
1,1,1,1050,0.9745042492917847,0.9828571428571429,0.9786628733997155
2,2,2,1050,0.9797101449275363,0.9657142857142857,0.9726618705035971
3,3,3,1050,0.9810606060606061,0.9866666666666667,0.9838556505223173
4,4,4,1050,0.9761904761904762,0.9761904761904762,0.9761904761904762
5,5,5,1050,0.9727699530516432,0.9866666666666667,0.9796690307328606
6,6,6,1050,0.9689849624060151,0.981904761904762,0.9754020813623463
7,7,7,1050,0.9838403041825095,0.9857142857142858,0.9847764034253093
8,8,8,1050,0.9836538461538461,0.9742857142857143,0.9789473684210527
9,9,9,1050,0.9903938520653218,0.981904761904762,0.9861310377809661
