class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9818007662835249,0.9761904761904762,0.9789875835721107
1,1,1,1050,0.9845261121856866,0.9695238095238096,0.9769673704414586
2,2,2,1050,0.9644230769230769,0.9552380952380952,0.9598086124401914
3,3,3,1050,0.9720149253731343,0.9923809523809524,0.9820923656927426
4,4,4,1050,0.9686311787072244,0.9704761904761905,0.9695528068506185
5,5,5,1050,0.9855907780979827,0.9771428571428571,0.9813486370157818
6,6,6,1050,0.959280303030303,0.9647619047619047,0.9620132953466287
7,7,7,1050,0.9855072463768116,0.9714285714285714,0.9784172661870504
8,8,8,1050,0.9708097928436912,0.981904761904762,0.9763257575757575
9,9,9,1050,0.9671052631578947,0.98,0.9735099337748344
