class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.8611111111111112,0.8561904761904762,0.8586437440305635
1,1,1,1050,0.9847908745247148,0.9866666666666667,0.9857278782112274
2,2,2,1050,0.840297121634169,0.861904761904762,0.8509637987776211
3,3,3,1050,0.9162702188392008,0.9171428571428571,0.9167063303188957
4,4,4,1050,0.8290909090909091,0.8685714285714285,0.8483720930232558
5,5,5,1050,0.9826923076923076,0.9733333333333334,0.9779904306220096
6,6,6,1050,0.797938144329897,0.7371428571428571,0.7663366336633664
7,7,7,1050,0.955868544600939,0.9695238095238096,0.9626477541371158
8,8,8,1050,0.9809342230695901,0.98,0.9804668889947594
9,9,9,1050,0.9629277566539924,0.9647619047619047,0.9638439581351094
