class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9820245979186376,0.9885714285714285,0.9852871381110583
1,1,1,1050,0.9762131303520457,0.9771428571428571,0.9766777724892908
2,2,2,1050,0.9702495201535508,0.9628571428571429,0.9665391969407265
3,3,3,1050,0.9728464419475655,0.9895238095238095,0.9811142587346553
4,4,4,1050,0.9753320683111955,0.979047619047619,0.9771863117870723
5,5,5,1050,0.9754948162111216,0.9857142857142858,0.9805779251539554
6,6,6,1050,0.9805636540330418,0.960952380952381,0.9706589706589707
7,7,7,1050,0.9708097928436912,0.981904761904762,0.9763257575757575
8,8,8,1050,0.9893307468477207,0.9714285714285714,0.980297933685728
9,9,9,1050,0.9885167464114832,0.9838095238095238,0.9861575178997612
