variant,epoch,loss,accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,learning_rate,epoch_seconds,train_examples,train_examples_per_second,val_class_0_f1,val_class_0_precision,val_class_0_recall,val_class_0_support,val_class_1_f1,val_class_1_precision,val_class_1_recall,val_class_1_support,val_class_2_f1,val_class_2_precision,val_class_2_recall,val_class_2_support,val_class_3_f1,val_class_3_precision,val_class_3_recall,val_class_3_support,val_class_4_f1,val_class_4_precision,val_class_4_recall,val_class_4_support,val_class_5_f1,val_class_5_precision,val_class_5_recall,val_class_5_support,val_class_6_f1,val_class_6_precision,val_class_6_recall,val_class_6_support,val_class_7_f1,val_class_7_precision,val_class_7_recall,val_class_7_support,val_class_8_f1,val_class_8_precision,val_class_8_recall,val_class_8_support,val_class_9_f1,val_class_9_precision,val_class_9_recall,val_class_9_support
fp32,1,1.210920333862305,0.5891428589820862,0.4129330217838287,0.8694285750389099,0.8694285714285714,0.869403214775366,0.0003000000142492,68.97144521899997,49000.0,710.438933741549,0.9173151750972764,0.937375745526839,0.8980952380952381,1050.0,0.8721251149954002,0.8434163701067615,0.9028571428571428,1050.0,0.7860696517412935,0.8229166666666666,0.7523809523809524,1050.0,0.8935574229691877,0.8763736263736264,0.9114285714285716,1050.0,0.849236641221374,0.8508604206500956,0.8476190476190476,1050.0,0.8981854838709676,0.9539614561027836,0.8485714285714285,1050.0,0.8121827411167514,0.7878245299910475,0.8380952380952381,1050.0,0.8868092691622104,0.8333333333333334,0.9476190476190476,1050.0,0.8936376881981544,0.9117938553022796,0.8761904761904762,1050.0,0.8849129593810445,0.8988212180746562,0.8714285714285714,1050.0
fp32,2,0.4018079042434692,0.8795714378356934,0.2429653108119964,0.9239047765731812,0.923904761904762,0.9239786102310198,0.0003000000142492,59.337710681999965,49000.0,825.7817741334618,0.9469234382339128,0.9341983317886932,0.96,1050.0,0.9271775345073774,0.9267364414843008,0.9276190476190476,1050.0,0.8862859931673986,0.908908908908909,0.8647619047619047,1050.0,0.9405099150141644,0.9325842696629212,0.9485714285714286,1050.0,0.8931404573028465,0.8755718206770357,0.9114285714285716,1050.0,0.9381887877335888,0.944069431051109,0.9323809523809524,1050.0,0.8907407407407407,0.8666666666666667,0.9161904761904762,1050.0,0.9513253012048192,0.9629268292682926,0.94,1050.0,0.9286768322675848,0.960325534079349,0.8990476190476191,1050.0,0.9368171021377673,0.9345971563981044,0.939047619047619,1050.0
fp32,3,0.2595073878765106,0.9223469495773317,0.202648639678955,0.9378095269203186,0.9378095238095238,0.9376489664499424,0.0003000000142492,61.220684664999965,49000.0,800.3830775191157,0.9430147058823528,0.911190053285968,0.9771428571428572,1050.0,0.9490384615384616,0.958252427184466,0.94,1050.0,0.9025012761613068,0.9724972497249724,0.8419047619047619,1050.0,0.952561669829222,0.9489603024574668,0.956190476190476,1050.0,0.9162227602905568,0.9320197044334976,0.900952380952381,1050.0,0.9533980582524272,0.9722772277227724,0.9352380952380952,1050.0,0.9123287671232876,0.8763157894736842,0.9514285714285714,1050.0,0.9607193563653572,0.9548447789275636,0.9666666666666668,1050.0,0.9351376574895008,0.9167429094236048,0.9542857142857144,1050.0,0.9515669515669516,0.9488636363636364,0.9542857142857144,1050.0
fp32,4,0.1925743222236633,0.9430000185966492,0.1752072125673294,0.946666657924652,0.9466666666666668,0.9466841639461504,0.0003000000142492,66.530691563,49000.0,736.5021894233635,0.9535864978902954,0.9390581717451524,0.9685714285714284,1050.0,0.9506595017098192,0.97592778335005,0.9266666666666666,1050.0,0.9259624876604146,0.9610655737704918,0.8933333333333333,1050.0,0.9635933806146572,0.9568075117370892,0.9704761904761904,1050.0,0.9181094992980814,0.9024839006439742,0.9342857142857144,1050.0,0.9578692493946732,0.974384236453202,0.941904761904762,1050.0,0.9218530650444547,0.906163753449862,0.938095238095238,1050.0,0.9642686993806574,0.9647283126787416,0.9638095238095238,1050.0,0.9518916394208314,0.9340054995417048,0.9704761904761904,1050.0,0.959047619047619,0.959047619047619,0.959047619047619,1050.0
fp32,5,0.1532006710767746,0.9539999961853028,0.1570869386196136,0.9519047737121582,0.951904761904762,0.9519274294869776,0.0003000000142492,60.022859004,49000.0,816.3556487160097,0.9589816124469588,0.9495798319327732,0.9685714285714284,1050.0,0.960727969348659,0.966281310211946,0.9552380952380952,1050.0,0.9344422700587084,0.9607645875251508,0.9095238095238096,1050.0,0.9586623316302834,0.9356300997280144,0.9828571428571428,1050.0,0.9245901639344262,0.9096774193548388,0.94,1050.0,0.9642857142857144,0.977495107632094,0.9514285714285714,1050.0,0.9342167534311404,0.9285042333019756,0.94,1050.0,0.9632850241545892,0.9774509803921568,0.9495238095238095,1050.0,0.9587090650213572,0.955534531693472,0.961904761904762,1050.0,0.96137339055794,0.9627507163323782,0.96,1050.0
fp32,6,0.1261508017778396,0.962204098701477,0.1511176973581314,0.9554286003112792,0.9554285714285712,0.9552698995223868,0.0003000000142492,59.97280247799995,49000.0,817.0370230401498,0.960820895522388,0.9414990859232176,0.9809523809523808,1050.0,0.9669381887877336,0.9729990356798456,0.960952380952381,1050.0,0.9283208020050124,0.97989417989418,0.8819047619047619,1050.0,0.964336661911555,0.9629629629629628,0.9657142857142856,1050.0,0.9416304872165944,0.95405669599218,0.9295238095238096,1050.0,0.9593188268684958,0.9530075187969924,0.9657142857142856,1050.0,0.9414519906323184,0.9262672811059908,0.9571428571428572,1050.0,0.9712399811409712,0.96171802054155,0.9809523809523808,1050.0,0.9574669187145556,0.950281425891182,0.9647619047619048,1050.0,0.9611742424242424,0.955743879472693,0.9666666666666668,1050.0
fp32,7,0.1242009326815605,0.9629796147346495,0.1359184980392456,0.9605714082717896,0.9605714285714284,0.9606318974151618,0.0003000000142492,59.23064087800003,49000.0,827.2745199723141,0.9675858732462506,0.983284169124877,0.9523809523809524,1050.0,0.9644381223328592,0.9603399433427762,0.9685714285714284,1050.0,0.9419600380589914,0.94106463878327,0.9428571428571428,1050.0,0.9653882132834424,0.9485294117647058,0.9828571428571428,1050.0,0.9453499520613614,0.9517374517374516,0.939047619047619,1050.0,0.9705171580473658,0.985279685966634,0.956190476190476,1050.0,0.9424326833797586,0.9193840579710144,0.9666666666666668,1050.0,0.9735849056603774,0.9644859813084112,0.9828571428571428,1050.0,0.9651883643299952,0.9665711556829036,0.9638095238095238,1050.0,0.9698736637512148,0.9900793650793652,0.9504761904761904,1050.0
fp32,8,0.1069024130702018,0.968142867088318,0.1355463564395904,0.9603809714317322,0.9603809523809526,0.9603554416792128,0.0003000000142492,60.187749123,49000.0,814.1191640156428,0.9630350194552528,0.9840954274353876,0.9428571428571428,1050.0,0.9676190476190476,0.9676190476190476,0.9676190476190476,1050.0,0.9370041997200188,0.918572735590119,0.956190476190476,1050.0,0.9658719027582984,0.9485766758494032,0.9838095238095238,1050.0,0.9418145956607494,0.976482617586912,0.9095238095238096,1050.0,0.9674952198852772,0.9712092130518234,0.9638095238095238,1050.0,0.9487179487179488,0.9460227272727272,0.9514285714285714,1050.0,0.9722352941176472,0.9609302325581396,0.9838095238095238,1050.0,0.9661654135338348,0.953617810760668,0.979047619047619,1050.0,0.973595775324052,0.9816069699903196,0.9657142857142856,1050.0
fp32,9,0.0888444185256958,0.9736326336860656,0.1711754947900772,0.9539999961853028,0.954,0.9540224672909836,0.0003000000142492,58.91346096099994,49000.0,831.7284233638464,0.9674374705049552,0.9588400374181478,0.9761904761904762,1050.0,0.9652582159624412,0.9518518518518518,0.979047619047619,1050.0,0.9335288367546432,0.958835341365462,0.9095238095238096,1050.0,0.9658160808858932,0.976630963972736,0.9552380952380952,1050.0,0.936910084451068,0.9792315680166148,0.8980952380952381,1050.0,0.9646609360076408,0.9674329501915708,0.961904761904762,1050.0,0.9254267744833784,0.8758503401360545,0.9809523809523808,1050.0,0.9606299212598426,0.9350766456266908,0.9876190476190476,1050.0,0.963172804532578,0.9550561797752808,0.9714285714285714,1050.0,0.9573835480673936,0.9979338842975206,0.92,1050.0
fp32,10,0.0839436948299408,0.974571406841278,0.1266031563282013,0.9651428461074828,0.9651428571428572,0.9650652863282302,0.0003000000142492,60.43700271500006,49000.0,810.7615831160092,0.968735417638824,0.94967978042086,0.9885714285714284,1050.0,0.9692089057318808,0.9641847313854854,0.9742857142857144,1050.0,0.9480901077375125,0.9758064516129032,0.921904761904762,1050.0,0.971021377672209,0.9687203791469194,0.9733333333333334,1050.0,0.9511494252873564,0.9566473988439308,0.9457142857142856,1050.0,0.975071907957814,0.9816602316602316,0.9685714285714284,1050.0,0.9539347408829176,0.9613152804642168,0.9466666666666668,1050.0,0.9767662399241348,0.9726156751652504,0.9809523809523808,1050.0,0.966461974492206,0.9587628865979382,0.9742857142857144,1050.0,0.9702127659574468,0.9633802816901408,0.9771428571428572,1050.0
