batch_size,class_id,class_name,precision,recall,f1,support
16,0,0,0.9820245979186376,0.9885714285714285,0.9852871381110583,1050
16,1,1,0.9913461538461539,0.981904761904762,0.9866028708133971,1050
16,2,2,0.9828080229226361,0.98,0.9814020028612304,1050
16,3,3,0.9848341232227488,0.9895238095238095,0.9871733966745844,1050
16,4,4,0.9792060491493384,0.9866666666666667,0.9829222011385199,1050
16,5,5,0.9820415879017014,0.9895238095238095,0.9857685009487667,1050
16,6,6,0.9854791868344628,0.9695238095238096,0.9774363898223717,1050
16,7,7,0.9792843691148776,0.9904761904761905,0.9848484848484849,1050
16,8,8,0.9847473784556721,0.9838095238095238,0.9842782277274892,1050
16,9,9,0.9971181556195965,0.9885714285714285,0.9928263988522237,1050
32,0,0,0.9903846153846154,0.9809523809523809,0.985645933014354,1050
32,1,1,0.9884281581485053,0.9761904761904762,0.9822712026832773,1050
32,2,2,0.9809523809523809,0.9809523809523809,0.9809523809523809,1050
32,3,3,0.9867549668874173,0.9933333333333333,0.9900332225913622,1050
32,4,4,0.9763705103969754,0.9838095238095238,0.9800759013282733,1050
32,5,5,0.9904122722914669,0.9838095238095238,0.987099856665074,1050
32,6,6,0.9709193245778611,0.9857142857142858,0.9782608695652174,1050
32,7,7,0.9875835721107927,0.9847619047619047,0.9861707200762994,1050
32,8,8,0.9885167464114832,0.9838095238095238,0.9861575178997612,1050
32,9,9,0.9839167455061495,0.9904761904761905,0.9871855719031799,1050
48,0,0,0.9792843691148776,0.9904761904761905,0.9848484848484849,1050
48,1,1,0.9894636015325671,0.9838095238095238,0.9866284622731615,1050
48,2,2,0.9762357414448669,0.9780952380952381,0.9771646051379638,1050
48,3,3,0.9923371647509579,0.9866666666666667,0.9894937917860555,1050
48,4,4,0.9837164750957854,0.9780952380952381,0.9808978032473734,1050
48,5,5,0.9912790697674418,0.9742857142857143,0.9827089337175792,1050
48,6,6,0.9591836734693877,0.9847619047619047,0.9718045112781954,1050
48,7,7,0.9913461538461539,0.981904761904762,0.9866028708133971,1050
48,8,8,0.9876190476190476,0.9876190476190476,0.9876190476190476,1050
48,9,9,0.9848197343453511,0.9885714285714285,0.9866920152091255,1050
64,0,0,0.9857278782112274,0.9866666666666667,0.9861970490242742,1050
64,1,1,0.9819563152896487,0.9847619047619047,0.983357108892059,1050
64,2,2,0.9640831758034026,0.9714285714285714,0.9677419354838709,1050
64,3,3,0.9720149253731343,0.9923809523809524,0.9820923656927426,1050
64,4,4,0.9736346516007532,0.9847619047619047,0.9791666666666666,1050
64,5,5,0.9884504331087585,0.9780952380952381,0.9832455720440403,1050
64,6,6,0.9843597262952102,0.959047619047619,0.9715388326097444,1050
64,7,7,0.9865900383141762,0.9809523809523809,0.9837631327602675,1050
64,8,8,0.9847764034253093,0.9857142857142858,0.9852451213707759,1050
