class_index,label,class_name,support,precision,recall,f1
0,0,0,1035,0.9970958373668926,0.9951690821256038,0.9961315280464217
1,1,1,1181,0.9940728196443692,0.9940728196443692,0.9940728196443692
2,2,2,1048,0.9807877041306436,0.9742366412213741,0.977501196744854
3,3,3,1071,0.9953139643861293,0.9915966386554622,0.9934518241347053
4,4,4,1023,0.9931372549019608,0.9902248289345064,0.9916789035731767
5,5,5,947,0.9767932489451476,0.9778247096092925,0.9773087071240105
6,6,6,1031,0.9903100775193798,0.991270611057226,0.9907901114881241
7,7,7,1094,0.9793351302785265,0.9963436928702011,0.9877661984594471
8,8,8,1024,0.994088669950739,0.9853515625,0.9897008337420304
9,9,9,1044,0.9818702290076335,0.985632183908046,0.9837476099426385
