class_index,label,class_name,support,precision,recall,f1
0,0,0,1035,0.9990253411306043,0.9903381642512077,0.9946627850557981
1,1,1,1181,0.9957734573119188,0.9974597798475868,0.9966159052453468
2,2,2,1048,0.9931906614785992,0.9742366412213741,0.9836223506743739
3,3,3,1071,0.9934701492537313,0.9943977591036415,0.9939337377508166
4,4,4,1023,0.9893203883495145,0.9960899315738025,0.9926936190940088
5,5,5,947,0.9842105263157894,0.9873284054910243,0.985767000527148
6,6,6,1031,0.9790276453765491,0.9961202715809894,0.9874999999999999
7,7,7,1094,0.9890210430009149,0.9881170018281535,0.9885688157293094
8,8,8,1024,0.9921798631476051,0.9912109375,0.991695163654128
9,9,9,1044,0.985632183908046,0.985632183908046,0.985632183908046
